date,I,S,inc,R,cases,ran_cases,index
1944-11-11,225.572,187225,26.207,2.21255e+06,21.0834,21.6621,0
1944-11-12,224.608,187329,26.1213,2.21245e+06,21.0144,21.5866,0
1944-11-13,223.677,187434,26.0391,2.21234e+06,20.9483,19.8381,0
1944-11-14,222.776,187538,25.9603,2.21224e+06,20.8849,23.8802,0
1944-11-15,221.907,187642,25.885,2.21214e+06,20.8244,19.7167,0
1944-11-16,221.069,187747,25.8132,2.21203e+06,20.7666,21.9527,0
1944-11-17,220.261,187851,25.7447,2.21193e+06,20.7115,21.9639,0
1944-11-18,219.484,187956,25.6796,2.21182e+06,20.6591,19.8475,0
1944-11-19,218.736,188061,25.6178,2.21172e+06,20.6094,22.8111,0
1944-11-20,218.018,188166,25.5593,2.21162e+06,20.5624,20.3104,0
1944-11-21,217.33,188270,25.5042,2.21151e+06,20.518,20.3364,0
1944-11-22,216.671,188375,25.4523,2.21141e+06,20.4762,20.7659,0
1944-11-23,216.041,188480,25.4036,2.2113e+06,20.4371,18.3492,0
1944-11-24,215.439,188585,25.3582,2.2112e+06,20.4005,19.5474,0
1944-11-25,214.866,188690,25.3159,2.2111e+06,20.3665,20.8758,0
1944-11-26,214.321,188795,25.2768,2.21099e+06,20.3351,21.5034,0
1944-11-27,213.804,188900,25.2409,2.21089e+06,20.3062,22.2448,0
1944-11-28,213.315,189005,25.2081,2.21078e+06,20.2798,23.0878,0
1944-11-29,212.853,189110,25.1785,2.21068e+06,20.256,22.6509,0
1944-11-30,212.419,189215,25.1519,2.21057e+06,20.2346,21.9512,0
1944-12-01,212.011,189320,25.1284,2.21047e+06,20.2157,19.1104,0
1944-12-02,211.631,189426,25.108,2.21036e+06,20.1992,18.3257,0
1944-12-03,211.278,189531,25.0906,2.21026e+06,20.1852,19.615,0
1944-12-04,210.951,189636,25.0762,2.21015e+06,20.1737,19.8709,0
1944-12-05,210.65,189741,25.0649,2.21005e+06,20.1646,21.2973,0
1944-12-06,210.376,189846,25.0565,2.20994e+06,20.1578,16.8584,0
1944-12-07,210.128,189951,25.0512,2.20984e+06,20.1535,15.9064,0
1944-12-08,209.905,190057,25.0488,2.20973e+06,20.1516,26.0491,0
1944-12-09,209.709,190162,25.0494,2.20963e+06,20.1521,22.2402,0
1944-12-10,209.538,190267,25.0529,2.20952e+06,20.1549,21.9921,0
1944-12-11,209.392,190372,25.0594,2.20942e+06,20.1601,18.8911,0
1944-12-12,209.272,190477,25.0688,2.20931e+06,20.1677,19.5638,0
1944-12-13,209.178,190582,25.0811,2.20921e+06,20.1776,16.403,0
1944-12-14,209.108,190688,25.0963,2.2091e+06,20.1898,20.0501,0
1944-12-15,209.063,190793,25.1144,2.209e+06,20.2044,21.1525,0
1944-12-16,209.043,190898,25.1354,2.20889e+06,20.2213,20.7121,0
1944-12-17,209.048,191003,25.1593,2.20879e+06,20.2406,17.9107,0
1944-12-18,209.078,191108,25.1861,2.20868e+06,20.2621,19.0788,0
1944-12-19,209.132,191213,25.2158,2.20858e+06,20.2859,17.0207,0
1944-12-20,209.211,191318,25.2483,2.20847e+06,20.3121,17.7291,0
1944-12-21,209.314,191422,25.2836,2.20837e+06,20.3405,23.4204,0
1944-12-22,209.442,191527,25.3218,2.20826e+06,20.3713,17.1697,0
1944-12-23,209.594,191632,25.3629,2.20816e+06,20.4043,21.2021,0
1944-12-24,209.77,191737,25.4068,2.20805e+06,20.4397,16.7626,0
1944-12-25,209.97,191842,25.4536,2.20795e+06,20.4773,20.6153,0
1944-12-26,210.194,191946,25.5031,2.20784e+06,20.5171,22.2048,0
1944-12-27,210.442,192051,25.5555,2.20774e+06,20.5593,21.1021,0
1944-12-28,210.714,192155,25.6108,2.20763e+06,20.6037,20.0643,0
1944-12-29,211.01,192260,25.6689,2.20753e+06,20.6505,17.7756,0
1944-12-30,211.33,192364,25.7297,2.20742e+06,20.6994,22.0443,0
1944-12-31,211.674,192469,25.7935,2.20732e+06,20.7507,18.6715,0
1945-01-01,212.041,192573,25.86,2.20722e+06,20.8042,18.3137,0
1945-01-02,212.432,192677,25.9293,2.20711e+06,20.86,23.0502,0
1945-01-03,212.847,192781,26.0015,2.20701e+06,20.9181,25.5723,0
1945-01-04,213.285,192885,26.0765,2.2069e+06,20.9784,18.5829,0
1945-01-05,213.747,192989,26.1543,2.2068e+06,21.041,19.63,0
1945-01-06,214.233,193093,26.235,2.20669e+06,21.1059,21.9013,0
1945-01-07,214.742,193197,26.3184,2.20659e+06,21.173,19.6905,0
1945-01-08,215.275,193300,26.4047,2.20648e+06,21.2424,23.5048,0
1945-01-09,215.832,193404,26.4938,2.20638e+06,21.3141,20.1739,0
